League,Pos,Team,P,W,D,L,F,A,GD,Pts,Table Type,Season,KEY
Bundesliga,6,RB Leipzig,17,9,4,4,34,26,8,31,Home League Table,2017/18,Bundesliga|RB Leipzig|2017/18
Bundesliga,7,"Borussia M'gladbach",17,9,4,4,28,20,8,31,Home League Table,2017/18,"Bundesliga|Borussia M'gladbach|2017/18"
Bundesliga,8,Bayer Leverkusen,17,8,5,4,29,19,10,29,Home League Table,2017/18,Bundesliga|Bayer Leverkusen|2017/18
Bundesliga,9,Eintracht Frankfurt,17,8,4,5,26,19,7,28,Home League Table,2017/18,Bundesliga|Eintracht Frankfurt|2017/18
Bundesliga,10,Hannover 96,17,8,3,6,28,25,3,27,Home League Table,2017/18,Bundesliga|Hannover 96|2017/18
Bundesliga,11,SC Freiburg,17,7,6,4,17,17,0,27,Home League Table,2017/18,Bundesliga|SC Freiburg|2017/18
Bundesliga,12,Werder Bremen,17,6,7,4,20,17,3,25,Home League Table,2017/18,Bundesliga|Werder Bremen|2017/18
Bundesliga,13,1. FSV Mainz 05,17,7,3,7,22,21,1,24,Home League Table,2017/18,Bundesliga|1. FSV Mainz 05|2017/18
Bundesliga,14,FC Augsburg,17,6,4,7,24,24,0,22,Home League Table,2017/18,Bundesliga|FC Augsburg|2017/18
Bundesliga,15,Hamburger SV,17,6,4,7,17,19,-2,22,Home League Table,2017/18,Bundesliga|Hamburger SV|2017/18
Bundesliga,16,Hertha BSC,17,5,7,5,23,27,-4,22,Home League Table,2017/18,Bundesliga|Hertha BSC|2017/18
Bundesliga,17,VfL Wolfsburg,17,3,8,6,23,25,-2,17,Home League Table,2017/18,Bundesliga|VfL Wolfsburg|2017/18
Bundesliga,18,1. FC Koln,17,3,5,9,20,30,-10,14,Home League Table,2017/18,Bundesliga|1. FC Koln|2017/18
Bundesliga,1,Bayern Munich,17,13,1,3,36,13,23,40,Away League Table,2017/18,Bundesliga|Bayern Munich|2017/18
Bundesliga,2,FC Schalke 04,17,8,4,5,26,22,4,28,Away League Table,2017/18,Bundesliga|FC Schalke 04|2017/18
Bundesliga,3,Bayer Leverkusen,17,7,5,5,29,25,4,26,Away League Table,2017/18,Bundesliga|Bayer Leverkusen|2017/18
Bundesliga,4,Borussia Dortmund,17,6,6,5,24,26,-2,24,Away League Table,2017/18,Bundesliga|Borussia Dortmund|2017/18
